similarity_rank,cid,prototype,prototype_label,x_center,bar_width,similarity,assigned_prototype,assigned_prototype_label,max_prototype_similarity
41,18373965,1,NP1,39.64857142857143,0.10777142857142856,-0.1783292442560196,6,NP6,0.7956426739692688
41,18373965,2,NP2,39.76571428571429,0.10777142857142856,-0.19515414535999298,6,NP6,0.7956426739692688
41,18373965,3,NP3,39.88285714285714,0.10777142857142856,-0.27923914790153503,6,NP6,0.7956426739692688
41,18373965,4,NP4,40.0,0.10777142857142856,-0.1534034013748169,6,NP6,0.7956426739692688
41,18373965,5,NP5,40.11714285714286,0.10777142857142856,0.06691978126764297,6,NP6,0.7956426739692688
41,18373965,6,NP6,40.23428571428571,0.10777142857142856,0.7956426739692688,6,NP6,0.7956426739692688
41,18373965,7,NP7,40.35142857142857,0.10777142857142856,-0.3086215853691101,6,NP6,0.7956426739692688
42,3599767,1,NP1,40.64857142857143,0.10777142857142856,-0.165296271443367,6,NP6,0.7924919128417969
42,3599767,2,NP2,40.76571428571429,0.10777142857142856,-0.19087687134742737,6,NP6,0.7924919128417969
42,3599767,3,NP3,40.88285714285714,0.10777142857142856,-0.2784418761730194,6,NP6,0.7924919128417969
42,3599767,4,NP4,41.0,0.10777142857142856,-0.11803223937749863,6,NP6,0.7924919128417969
42,3599767,5,NP5,41.11714285714286,0.10777142857142856,0.05590105801820755,6,NP6,0.7924919128417969
42,3599767,6,NP6,41.23428571428571,0.10777142857142856,0.7924919128417969,6,NP6,0.7924919128417969
42,3599767,7,NP7,41.35142857142857,0.10777142857142856,-0.31795021891593933,6,NP6,0.7924919128417969
43,15877487,1,NP1,41.64857142857143,0.10777142857142856,0.7923678755760193,1,NP1,0.7923678755760193
43,15877487,2,NP2,41.76571428571429,0.10777142857142856,0.10394569486379623,1,NP1,0.7923678755760193
43,15877487,3,NP3,41.88285714285714,0.10777142857142856,0.1768212765455246,1,NP1,0.7923678755760193
43,15877487,4,NP4,42.0,0.10777142857142856,-0.24727165699005127,1,NP1,0.7923678755760193
43,15877487,5,NP5,42.11714285714286,0.10777142857142856,-0.38584572076797485,1,NP1,0.7923678755760193
43,15877487,6,NP6,42.23428571428571,0.10777142857142856,-0.3205638825893402,1,NP1,0.7923678755760193
43,15877487,7,NP7,42.35142857142857,0.10777142857142856,0.15195423364639282,1,NP1,0.7923678755760193
44,25112575,1,NP1,42.64857142857143,0.10777142857142856,0.053610458970069885,3,NP3,0.7904896140098572
44,25112575,2,NP2,42.76571428571429,0.10777142857142856,0.014269345439970493,3,NP3,0.7904896140098572
44,25112575,3,NP3,42.88285714285714,0.10777142857142856,0.7904896140098572,3,NP3,0.7904896140098572
44,25112575,4,NP4,43.0,0.10777142857142856,-0.21114212274551392,3,NP3,0.7904896140098572
44,25112575,5,NP5,43.11714285714286,0.10777142857142856,-0.23087330162525177,3,NP3,0.7904896140098572
44,25112575,6,NP6,43.23428571428571,0.10777142857142856,-0.20171107351779938,3,NP3,0.7904896140098572
44,25112575,7,NP7,43.35142857142857,0.10777142857142856,-0.017447713762521744,3,NP3,0.7904896140098572
45,22722373,1,NP1,43.64857142857143,0.10777142857142856,-0.22335223853588104,6,NP6,0.7892118096351624
45,22722373,2,NP2,43.76571428571429,0.10777142857142856,-0.21603776514530182,6,NP6,0.7892118096351624
45,22722373,3,NP3,43.88285714285714,0.10777142857142856,-0.25857841968536377,6,NP6,0.7892118096351624
45,22722373,4,NP4,44.0,0.10777142857142856,-0.20372635126113892,6,NP6,0.7892118096351624
45,22722373,5,NP5,44.11714285714286,0.10777142857142856,0.07589644938707352,6,NP6,0.7892118096351624
45,22722373,6,NP6,44.23428571428571,0.10777142857142856,0.7892118096351624,6,NP6,0.7892118096351624
45,22722373,7,NP7,44.35142857142857,0.10777142857142856,-0.2825981676578522,6,NP6,0.7892118096351624
46,58489416,1,NP1,44.64857142857143,0.10777142857142856,0.047723643481731415,3,NP3,0.7882561683654785
46,58489416,2,NP2,44.76571428571429,0.10777142857142856,0.014093167148530483,3,NP3,0.7882561683654785
46,58489416,3,NP3,44.88285714285714,0.10777142857142856,0.7882561683654785,3,NP3,0.7882561683654785
46,58489416,4,NP4,45.0,0.10777142857142856,-0.19844157993793488,3,NP3,0.7882561683654785
46,58489416,5,NP5,45.11714285714286,0.10777142857142856,-0.24217353761196136,3,NP3,0.7882561683654785
46,58489416,6,NP6,45.23428571428571,0.10777142857142856,-0.18267063796520233,3,NP3,0.7882561683654785
46,58489416,7,NP7,45.35142857142857,0.10777142857142856,-0.017572129145264626,3,NP3,0.7882561683654785
47,144241,1,NP1,45.64857142857143,0.10777142857142856,-0.14098645746707916,6,NP6,0.7848109602928162
47,144241,2,NP2,45.76571428571429,0.10777142857142856,-0.1964036077260971,6,NP6,0.7848109602928162
47,144241,3,NP3,45.88285714285714,0.10777142857142856,-0.2776421904563904,6,NP6,0.7848109602928162
47,144241,4,NP4,46.0,0.10777142857142856,-0.14607219398021698,6,NP6,0.7848109602928162
47,144241,5,NP5,46.11714285714286,0.10777142857142856,0.04945046827197075,6,NP6,0.7848109602928162
47,144241,6,NP6,46.23428571428571,0.10777142857142856,0.7848109602928162,6,NP6,0.7848109602928162
47,144241,7,NP7,46.35142857142857,0.10777142857142856,-0.3124605119228363,6,NP6,0.7848109602928162
48,58050304,1,NP1,46.64857142857143,0.10777142857142856,0.03848268836736679,3,NP3,0.7838299870491028
48,58050304,2,NP2,46.76571428571429,0.10777142857142856,0.00548472860828042,3,NP3,0.7838299870491028
